,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anisotropy Calculations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Mineralogist: June 2018 Deposit AM-18-66285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUFFY: SINGLE-CRYSTAL ELASTIC PROPERTIES OF CUBIC MINERALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Composition,Group,Structure/SG,C1,NS,r,11,44,12,K,GR,GV,G,GHS1,GHS2,GHSA,K/G,nVRH,EVRH,VP,VB,VS,VP/VS,C12/C11,C44/C11,AZ,AU,AL,AG,,n_110,n_001,,S11,S12,S44
Silicates,,,,,,g/cm3,GPa,GPa,GPa,GPa,GPa,GPa,GPa,GPa,GPa,GPa,-,-,GPa,km/s,km/s,km/s,-,-,-,-,-,-,%,,-,-,,GPa-1,GPa-1,GPa-1
Prp-Maj,Mg3.24Al1.53Si3.23O12 (Prp76Maj24),Silicate,"Garnet, Ia-3d",7,9.AD,3.552,290,91,109,169.333,90.799,90.800,90.800,90.800,90.800,90.800,1.865,0.273,231.093,9.042,6.905,5.056,1.788,0.376,0.314,1.0055,0.0000,0.0000,0.000,,0.271,0.274,,0.0043,-0.0012,0.0110
Prp-Maj,Mg3.01Fe0.17Al1.68Si3.15O12 (Prp78Alm6Maj16),Silicate,"Garnet, Ia-3d",7,9.AD,3.60,296,92,112,173.333,92.000,92.000,92.000,92.006,92.040,92.023,1.884,0.275,234.510,9.066,6.938,5.055,1.794,0.378,0.311,1.0000,0.0000,0.0000,0.000,,0.275,0.275,,0.0043,-0.0012,0.0109
Prp-Maj,Mg3.16Fe0.32Al1.2Si3.36O12  (Prp54Alm10Maj36),Silicate,"Garnet, Ia-3d",7,9.AD,3.61,284.8,88.4,106.4,165.867,88.718,88.720,88.719,88.719,88.719,88.719,1.870,0.273,225.884,8.871,6.777,4.957,1.790,0.374,0.310,0.9910,0.0001,0.0000,0.001,,0.276,0.270,,0.0044,-0.0012,0.0113
Na-Maj,(Na0.62Mg0.38)3(Si0.97Mg0.03)2Si3O12,Silicate,"Garnet, Ia-3d",7,9.AD,3.606,328.5,113.7,96.0,173.500,114.706,114.720,114.713,114.713,114.713,114.713,1.512,0.229,281.991,9.515,6.936,5.640,1.687,0.292,0.346,0.9781,0.0006,0.0003,0.006,,0.237,0.223,,0.0035,-0.0008,0.0088
CGGG,Ca3Ga2Ge3O12,Silicate,"Garnet, Ia-3d",7,4,4.835,251,89,92,145.000,84.940,85.200,85.070,85.071,85.077,85.074,1.704,0.255,213.464,7.311,5.476,4.195,1.743,0.367,0.355,1.1195,0.0153,0.0068,0.153,,0.215,0.288,,0.0050,-0.0013,0.0112
CNGG,Ca3Nb1.5Ge3.5O12,Silicate,"Garnet, Ia-3d",7,4,4.814,236.9,72.1,82.3,133.833,74.094,74.180,74.137,74.139,74.137,74.138,1.805,0.266,187.744,6.952,5.273,3.924,1.772,0.347,0.304,0.9327,0.0058,0.0026,0.058,,0.290,0.247,,0.0051,-0.0013,0.0139
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ringwoodite,g-Mg2SiO4,Silicate,"Spinel, Fd-3m",7,9.AC,3.559,327,129,113,184.333,119.197,120.200,119.698,119.691,119.729,119.710,1.540,0.233,295.199,9.830,7.197,5.799,1.695,0.346,0.394,1.2056,0.0421,0.0187,0.419,,0.168,0.288,,0.0037,-0.0010,0.0078
Ringwoodite,g-(Mg0.91Fe0.09)2SiO4,Silicate,"Spinel, Fd-3m",7,9.AC,3.701,329,130,118,188.333,118.951,120.200,119.575,119.566,119.618,119.592,1.575,0.238,296.067,9.694,7.134,5.684,1.705,0.359,0.395,1.2322,0.0525,0.0234,0.522,,0.164,0.300,,0.0037,-0.0010,0.0077
Ringwoodite,g-Mg1.852Si0.985H0.356O4,Silicate,"Spinel, Fd-3m",7,9.AC,3.433,290.6,118.4,104.0,166.200,106.897,108.360,107.628,107.612,107.682,107.647,1.544,0.234,265.561,9.498,6.958,5.599,1.696,0.358,0.407,1.2690,0.0684,0.0304,0.680,,0.150,0.304,,0.0042,-0.0011,0.0084
